"Path","LineNumber","Content"
"D:\aaaempire-reputation-ai\components\dashboard\prospects-list.tsx","83","""button"""
"D:\aaaempire-reputation-ai\components\dashboard\prospects-list.tsx","90","'copied'"
"D:\aaaempire-reputation-ai\components\dashboard\rating-evolution-chart.tsx","36","'Statistics'"
"D:\aaaempire-reputation-ai\components\dashboard\rating-evolution-chart.tsx","42","'rgb(148 163 184)'"
"D:\aaaempire-reputation-ai\components\dashboard\rating-evolution-chart.tsx","82","""min-w-0 w-full"""
"D:\aaaempire-reputation-ai\components\dashboard\rating-evolution-chart.tsx","91","""button"""
"D:\aaaempire-reputation-ai\components\dashboard\rating-evolution-chart.tsx","104","""h-52 min-h-[200px] w-full"""
"D:\aaaempire-reputation-ai\components\dashboard\rating-evolution-chart.tsx","114","""label"""
"D:\aaaempire-reputation-ai\components\dashboard\rating-evolution-chart.tsx","129","""monotone"""
"D:\aaaempire-reputation-ai\components\dashboard\rating-evolution-chart.tsx","130","""rating"""
"D:\aaaempire-reputation-ai\components\dashboard\reputexa-review-boost-card.tsx","164","'title'"
"D:\aaaempire-reputation-ai\components\dashboard\reputexa-review-boost-card.tsx","182","'placeholder'"
"D:\aaaempire-reputation-ai\components\dashboard\reputexa-review-boost-card.tsx","231","""button"""
"D:\aaaempire-reputation-ai\components\dashboard\reputexa-review-boost-card.tsx","240","""button"""
"D:\aaaempire-reputation-ai\components\dashboard\reputexa-review-boost-card.tsx","246","'publishing'"
"D:\aaaempire-reputation-ai\components\dashboard\settings-compliance-block.tsx","73","'title'"
"D:\aaaempire-reputation-ai\components\dashboard\settings-compliance-block.tsx","78","'tagline'"
"D:\aaaempire-reputation-ai\components\dashboard\settings-compliance-block.tsx","102","""noopener noreferrer"""
"D:\aaaempire-reputation-ai\components\dashboard\settings-compliance-block.tsx","117","""button"""
"D:\aaaempire-reputation-ai\components\dashboard\settings-compliance-block.tsx","136","""button"""
"D:\aaaempire-reputation-ai\components\dashboard\simulate-review-form.tsx","95","""submit"""
"D:\aaaempire-reputation-ai\components\dashboard\simulate-review-form.tsx","99","""h-4 w-4 animate-spin"""
"D:\aaaempire-reputation-ai\components\dashboard\simulate-review-form.tsx","100","'simulate'"
"D:\aaaempire-reputation-ai\components\dashboard\source-logo.tsx","3","'google'"
"D:\aaaempire-reputation-ai\components\dashboard\source-logo.tsx","13","'google'"
"D:\aaaempire-reputation-ai\components\dashboard\source-logo.tsx","24","'facebook'"
"D:\aaaempire-reputation-ai\components\dashboard\source-logo.tsx","29","""M24 12.073c0-6.627-5.373-12-12-12s-12 5.373-12 12c0 5.99 4.388 10.954 10.125 11.854v-8.385H7.078v-3.47h3.047V9.43c0-3.007 1.792-4.669 4.533-4.669 1.312 0 2.686.235 2.686.235v2.953H15.83c-1.491 0-1.956.925-1.956 1.874v2.25h3.328l-.532 3.47h-2.796v8.385C19.612 23.027 24 18.062 24 12.073z"""
"D:\aaaempire-reputation-ai\components\dashboard\source-logo.tsx","35","'trustpilot'"
"D:\aaaempire-reputation-ai\components\dashboard\statistics-overview.tsx","37","'rgb(100 116 139)'"
"D:\aaaempire-reputation-ai\components\dashboard\statistics-overview.tsx","63","""w-24 h-24 -rotate-90"""
